QCOM.US,cddf22e4-9d83-11ee-8ba2-c75ffde41a09,Qualcomm Inc.
PYPL.US,cddf22da-9d83-11ee-8ba2-c75ffde41a09,PayPal Holdings
TSLA.US,cddf22ea-9d83-11ee-8ba2-c75ffde41a09,Tesla Inc.
ZM.US,ffd08b5d-e4f2-11ee-b30e-3774e444eabf,Zoom Communication
COST.US,ffd08b5e-e4f2-11ee-b30e-3774e444eabf,Costco Wholesale
AAL.US,ffd08b5f-e4f2-11ee-b30e-3774e444eabf,American Airlines
AMAT.US,ffd08b60-e4f2-11ee-b30e-3774e444eabf,APPLIED
TEAM.US,ffd08b61-e4f2-11ee-b30e-3774e444eabf,ATLASSIAN CORP CL A
BYND.US,ffd08b62-e4f2-11ee-b30e-3774e444eabf,BEYOND MEAT
BNTX.US,ffd08b63-e4f2-11ee-b30e-3774e444eabf,BIONTECH SE ADR
CZR.US,ffd08b64-e4f2-11ee-b30e-3774e444eabf,CAESARS ENTERTAINMENT INC
CRWD.US,ffd08b65-e4f2-11ee-b30e-3774e444eabf,CrowdStrike
DBX.US,ffd08b66-e4f2-11ee-b30e-3774e444eabf,DROPBOX
ETSY.US,ffd08b67-e4f2-11ee-b30e-3774e444eabf,ETSY
FFIE.US,ffd08b68-e4f2-11ee-b30e-3774e444eabf,FARADAY FUTURE INTELLIGENT E
GILD.US,ffd08b69-e4f2-11ee-b30e-3774e444eabf,GILEAD SCIENCES INC
ILMN.US,ffd08b6a-e4f2-11ee-b30e-3774e444eabf,ILLUMINA INC
IBKR.US,ffd08b6b-e4f2-11ee-b30e-3774e444eabf,Interactive Brokers
ISRG.US,ffd08b6c-e4f2-11ee-b30e-3774e444eabf,INTUITIVE SURGICAL INC
LYFT.US,ffd08b6d-e4f2-11ee-b30e-3774e444eabf,LYFT
NVAX.US,ffd08b6e-e4f2-11ee-b30e-3774e444eabf,NOVAVAX INC
HOOD.US,ffd08b6f-e4f2-11ee-b30e-3774e444eabf,ROBINHOOD
ROKU.US,ffd08b70-e4f2-11ee-b30e-3774e444eabf,ROKU
SBUX.US,ffd08b71-e4f2-11ee-b30e-3774e444eabf,STARBUCKS
TXN.US,ffd08b72-e4f2-11ee-b30e-3774e444eabf,TI Texas Instruments
UAL.US,ffd08b73-e4f2-11ee-b30e-3774e444eabf,United Airlines
GDS.US,ffd08b74-e4f2-11ee-b30e-3774e444eabf,GDS HOLDINGS LTD ADR
MOMO.US,ffd08b75-e4f2-11ee-b30e-3774e444eabf,MOMO
IMAB.US,ffd08b76-e4f2-11ee-b30e-3774e444eabf,I MAB SPONSORED ADR
IQ.US,ffd08b77-e4f2-11ee-b30e-3774e444eabf,IQIYI
KC.US,ffd08b78-e4f2-11ee-b30e-3774e444eabf,Kingsoft
ARM.US,cddf2309-9d83-11ee-8ba2-c75ffde41a09,ARM
AVGO.US,ffd08b7a-e4f2-11ee-b30e-3774e444eabf,Broadcom
ASML.US,ffd08b7b-e4f2-11ee-b30e-3774e444eabf,ASML
COIN.US,ffd08b7c-e4f2-11ee-b30e-3774e444eabf,Coinbase
MRNA.US,ffd08b7d-e4f2-11ee-b30e-3774e444eabf,Moderna
SMCI.US,ffd08b7e-e4f2-11ee-b30e-3774e444eabf,Supermicro Computer
RIVN.US,ffd08b7f-e4f2-11ee-b30e-3774e444eabf,Rivian
PANW.US,ffd08b80-e4f2-11ee-b30e-3774e444eabf,Palo Alto Networks
WBD.US,ffd08b81-e4f2-11ee-b30e-3774e444eabf,Warner Bros. Discovery
MDB.US,ffd08b82-e4f2-11ee-b30e-3774e444eabf,MongoDB
ON.US,ffd08b83-e4f2-11ee-b30e-3774e444eabf,ON Semiconductor
CMCSA.US,ffd08b84-e4f2-11ee-b30e-3774e444eabf,Comcast
WYNN.US,ffd08b85-e4f2-11ee-b30e-3774e444eabf,Wynn Resorts Ltd
LRCX.US,ffd08b86-e4f2-11ee-b30e-3774e444eabf,Lam Research
CME.US,ffd08b87-e4f2-11ee-b30e-3774e444eabf,CME
MARA.US,ffd08b88-e4f2-11ee-b30e-3774e444eabf,Marathon Digital
SNPS.US,ffd08b89-e4f2-11ee-b30e-3774e444eabf,Synopsys
TTD.US,ffd08b8a-e4f2-11ee-b30e-3774e444eabf,Trade Desk
MRVL.US,ffd08b8b-e4f2-11ee-b30e-3774e444eabf,Marvell
TRIP.US,ffd08b8c-e4f2-11ee-b30e-3774e444eabf,Tripadvisor
LULU.US,ffd08b8d-e4f2-11ee-b30e-3774e444eabf,LuluLemon
JPM.US,cddf22f6-9d83-11ee-8ba2-c75ffde41a09,J.P. Morgan Chase & Co.
SPOT.US,ffd08b8f-e4f2-11ee-b30e-3774e444eabf,SPOTIFY
BABA.US,cddf22c7-9d83-11ee-8ba2-c75ffde41a09,Alibaba Group
BEKE.US,cddf22e1-9d83-11ee-8ba2-c75ffde41a09,KE Holdings
NIO.US,cddf22e3-9d83-11ee-8ba2-c75ffde41a09,NIO INC.
XPEV.US,cddf22ee-9d83-11ee-8ba2-c75ffde41a09,XPeng Inc.
TSM.US,cddf22d7-9d83-11ee-8ba2-c75ffde41a09,TSMC
ORCL.US,cddf22ff-9d83-11ee-8ba2-c75ffde41a09,Oracle Corp.
AI.US,
CRM.US,cddf22f3-9d83-11ee-8ba2-c75ffde41a09,Salesforce Inc.
DIS.US,cddf22df-9d83-11ee-8ba2-c75ffde41a09,Walt Disney Co.
MGM.US,cddf22f0-9d83-11ee-8ba2-c75ffde41a09,MGM Resorts International
CCL.US,cddf22cf-9d83-11ee-8ba2-c75ffde41a09,Carnival Corp.
WFC.US,cddf22e7-9d83-11ee-8ba2-c75ffde41a09,Wells Fargo & Co.
SQ.US,cddf22cc-9d83-11ee-8ba2-c75ffde41a09,Block Inc.
BA.US,cddf2300-9d83-11ee-8ba2-c75ffde41a09,Boeing Co.
FCX.US,cddf22ef-9d83-11ee-8ba2-c75ffde41a09,Freeport-McMoRan Inc.
SE.US,cddf2306-9d83-11ee-8ba2-c75ffde41a09,Sea Ltd.
NKE.US,cddf22e9-9d83-11ee-8ba2-c75ffde41a09,Nike Inc.
UBER.US,ffd08b92-e4f2-11ee-b30e-3774e444eabf,Uber
WMT.US,cddf22f4-9d83-11ee-8ba2-c75ffde41a09,WALMART INC.
T.US,ffd08b93-e4f2-11ee-b30e-3774e444eabf,AT&T
PFE.US,ffd08b94-e4f2-11ee-b30e-3774e444eabf,Pfizer
SHOP.US,ffd08b95-e4f2-11ee-b30e-3774e444eabf,SHOPIFY
AMC.US,ffd08b96-e4f2-11ee-b30e-3774e444eabf,AMC ENTERTAINMENT HLDS-CL A
AA.US,ffd08b97-e4f2-11ee-b30e-3774e444eabf,Alcoa
CAT.US,ffd08b98-e4f2-11ee-b30e-3774e444eabf,CATERPILLAR INC
CVX.US,ffd08b99-e4f2-11ee-b30e-3774e444eabf,CHEVRON
C.US,ffd08b9a-e4f2-11ee-b30e-3774e444eabf,CITIGROUP
KO.US,ffd08b9b-e4f2-11ee-b30e-3774e444eabf,COCACOLA
DAL.US,ffd08b9c-e4f2-11ee-b30e-3774e444eabf,DELTA AIR LINES INC
DASH.US,ffd08b9d-e4f2-11ee-b30e-3774e444eabf,DOORDASH
F.US,ffd08b9e-e4f2-11ee-b30e-3774e444eabf,FORD
YMM.US,ffd08b9f-e4f2-11ee-b30e-3774e444eabf,FULL TRUCK ALLIANCE -SPN ADR
GM.US,ffd08ba0-e4f2-11ee-b30e-3774e444eabf,GMC
GS.US,ffd08ba1-e4f2-11ee-b30e-3774e444eabf,GOLDMAN SACHS
K.US,ffd08ba2-e4f2-11ee-b30e-3774e444eabf,KELLOGG CO
LVS.US,ffd08ba3-e4f2-11ee-b30e-3774e444eabf,LAS VEGAS SANDS CORP
MA.US,ffd08ba4-e4f2-11ee-b30e-3774e444eabf,MASTERCARD INC A
MCD.US,ffd08ba5-e4f2-11ee-b30e-3774e444eabf,MCDONALD
MS.US,ffd08ba6-e4f2-11ee-b30e-3774e444eabf,MORGAN STANLEY
PLTR.US,ffd08ba7-e4f2-11ee-b30e-3774e444eabf,PALANTIR
RBLX.US,ffd08ba8-e4f2-11ee-b30e-3774e444eabf,ROBLOX
NOW.US,ffd08ba9-e4f2-11ee-b30e-3774e444eabf,ServiceNow
SNAP.US,ffd08baa-e4f2-11ee-b30e-3774e444eabf,SNAP INC A
SNOW.US,ffd08bab-e4f2-11ee-b30e-3774e444eabf,SNOWFLAKE
TEF.US,ffd08bac-e4f2-11ee-b30e-3774e444eabf,TELEFONICA SA-SPON ADR
X.US,ffd08bad-e4f2-11ee-b30e-3774e444eabf,UNITED STATES STEEL CORP
U.US,ffd08bae-e4f2-11ee-b30e-3774e444eabf,UNITY
V.US,ffd08baf-e4f2-11ee-b30e-3774e444eabf,VISA
HUYA.US,ffd08bb0-e4f2-11ee-b30e-3774e444eabf,HUYA INC ADR
EDU.US,ffd08bb1-e4f2-11ee-b30e-3774e444eabf,New Oriental Education
QD.US,ffd08bb2-e4f2-11ee-b30e-3774e444eabf,QUDIAN
TAL.US,ffd08bb3-e4f2-11ee-b30e-3774e444eabf,TAL EDUCATION GROUP ADR
TME.US,ffd08bb4-e4f2-11ee-b30e-3774e444eabf,Tencent Music
VIPS.US,ffd08bb5-e4f2-11ee-b30e-3774e444eabf,VIPSHOP HOLDINGS LTD  ADR
YSG.US,ffd08bb6-e4f2-11ee-b30e-3774e444eabf,YATSEN HOLDING LTD ADR
OXY.US,ffd08bb7-e4f2-11ee-b30e-3774e444eabf,Occidental Petroleum
BAC.US,ffd08bb8-e4f2-11ee-b30e-3774e444eabf,Bank of America
MMM.US,ffd08bb9-e4f2-11ee-b30e-3774e444eabf,3M
