RMS.FP,,,,
AA.US,ffd08b97-e4f2-11ee-b30e-3774e444eabf,Alcoa,Alcoa Corp.,7bd117fc-6340-11d6-9549-9f0f67d5774f
CAT.US,ffd08b98-e4f2-11ee-b30e-3774e444eabf,CATERPILLAR,Caterpillar Inc.,7e4e3552-de00-11d5-9be0-f05e055bbe70
CVX.US,ffd08b99-e4f2-11ee-b30e-3774e444eabf,CHEVRON,Chevron Corp.,579fb776-c408-11d5-86be-993aaf5c1874
C.US,ffd08b9a-e4f2-11ee-b30e-3774e444eabf,CITIGROUP,Citigroup Inc.,504e6fec-d481-11d5-8f83-f03a82eb7e91
KO.US,ffd08b9b-e4f2-11ee-b30e-3774e444eabf,COCACOLA,Coca Cola Icecek,09ebb018-6442-11d6-9f38-8d2ca13a682f
DAL.US,ffd08b9c-e4f2-11ee-b30e-3774e444eabf,DELTA AIR LINES,Delta Air Lines Inc.,c87f04a4-d481-11d5-8f83-f03a82eb7e91
DASH.US,ffd08b9d-e4f2-11ee-b30e-3774e444eabf,DOORDASH,DoorDash Inc.,832de435-61d0-47c0-8914-0c74bbcdd0fa
F.US,ffd08b9e-e4f2-11ee-b30e-3774e444eabf,FORD,Ford Motor Co.,80a63764-de00-11d5-9be0-f05e055bbe70
YMM.US,ffd08b9f-e4f2-11ee-b30e-3774e444eabf,FULL TRUCK ALLIANCE,Full Truck Alliance Co.,aa34c953-ce6e-4f35-b6f9-0e440a8e88d5
GM.US,ffd08ba0-e4f2-11ee-b30e-3774e444eabf,GMC,,not found
GS.US,ffd08ba1-e4f2-11ee-b30e-3774e444eabf,GOLDMAN SACHS,,not found
K.US,ffd08ba2-e4f2-11ee-b30e-3774e444eabf,KELLOGG,WK Kellogg Co.,8ea8ed84-2d22-416b-bcbb-4fac99a4c11c
LVS.US,ffd08ba3-e4f2-11ee-b30e-3774e444eabf,LAS VEGAS SANDS,Las Vegas Sands Corp.,122285e0-64a1-11d6-9c38-853350857dbc
MA.US,ffd08ba4-e4f2-11ee-b30e-3774e444eabf,MASTERCARD,Mastercard Inc.,6e5ea7ea-6478-11d6-98fc-b8c4783fdd2e
MCD.US,ffd08ba5-e4f2-11ee-b30e-3774e444eabf,MCDONALD,McDonald's Corp.,c9c2e826-d481-11d5-8f83-f03a82eb7e91
MS.US,ffd08ba6-e4f2-11ee-b30e-3774e444eabf,MORGAN STANLEY,Morgan Stanley & Co.,87ebcb38-de00-11d5-9be0-f05e055bbe70
PLTR.US,ffd08ba7-e4f2-11ee-b30e-3774e444eabf,PALANTIR,Palantir Technologies,56087e7b-013b-47ef-a677-f2e216bcf920
RBLX.US,ffd08ba8-e4f2-11ee-b30e-3774e444eabf,ROBLOX,Roblox,b9a4ef7d-9719-42ea-b651-96cd0350c9a9
